epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8511,1.37754,1.77678,1.56321,0.00173,0.35751,0.00158,0.00034,nan,nan,nan,0.000656716,0.000656716,0.000656716
2,22.5931,1.50647,1.38571,1.7278,0.00177,0.36788,0.00149,0.00048,4.03978,nan,87.7641,0.00129718,0.00129718,0.00129718
3,33.8169,1.56825,1.35076,1.71218,0.00188,0.29534,0.00141,0.00034,4.32504,inf,176.15,0.00191124,0.00191124,0.00191124
4,44.6167,1.54084,1.30394,1.683,0,0,0,0,nan,nan,nan,0.0018812,0.0018812,0.0018812
5,55.2621,1.47208,1.22085,1.61753,0,0,0,0,0,nan,0,0.0018416,0.0018416,0.0018416
6,66.0796,1.40685,1.05768,1.59298,0.93858,0.79175,0.87576,0.52326,1.42973,1.41026,1.69143,0.001802,0.001802,0.001802
7,77.1397,1.3388,0.94082,1.51683,0.867,0.81061,0.86833,0.53678,1.34052,1.3026,1.61802,0.0017624,0.0017624,0.0017624
8,88.1794,1.36396,0.92776,1.52044,0.89828,0.84456,0.89238,0.57121,1.33347,1.3377,1.67071,0.0017228,0.0017228,0.0017228
9,99.3202,1.2681,0.82619,1.4694,0.93302,0.93823,0.96773,0.6513,1.22591,0.71415,1.55211,0.0016832,0.0016832,0.0016832
10,110.402,1.23951,0.81819,1.4588,0.97786,0.9152,0.95082,0.6176,1.21531,0.76962,1.54131,0.0016436,0.0016436,0.0016436
11,121.136,1.21427,0.81697,1.45934,0.90769,0.86612,0.90076,0.58908,1.22384,0.96034,1.49996,0.001604,0.001604,0.001604
12,131.874,1.16679,0.73627,1.39252,0.87727,0.55557,0.65045,0.4058,1.56089,1.52295,1.85244,0.0015644,0.0015644,0.0015644
13,142.631,1.17475,0.69093,1.3784,0.95462,0.87207,0.90214,0.61432,1.22565,0.84952,1.50785,0.0015248,0.0015248,0.0015248
14,153.369,1.16917,0.69621,1.39113,0.96271,0.93635,0.96772,0.63957,1.18874,0.65025,1.4876,0.0014852,0.0014852,0.0014852
15,164.36,1.1309,0.6767,1.35451,0.9347,0.95855,0.98269,0.67594,1.10404,0.6053,1.42422,0.0014456,0.0014456,0.0014456
16,175.442,1.14038,0.6543,1.35459,0.93729,0.79275,0.859,0.55418,1.21712,0.92706,1.51269,0.001406,0.001406,0.001406
17,186.183,1.11693,0.63089,1.33622,0.97873,0.89119,0.95032,0.64049,1.18917,0.65175,1.41139,0.0013664,0.0013664,0.0013664
18,197.003,1.10435,0.63936,1.34513,0.94692,0.73947,0.79661,0.46173,1.54241,1.14953,1.81349,0.0013268,0.0013268,0.0013268
19,207.91,1.12886,0.62417,1.35264,0.92959,0.68402,0.73153,0.48674,1.37387,1.20905,1.59845,0.0012872,0.0012872,0.0012872
20,218.711,1.07287,0.58801,1.32443,0.97026,0.92228,0.96471,0.68436,1.14149,0.57424,1.43517,0.0012476,0.0012476,0.0012476
21,229.737,1.07745,0.59742,1.31358,0.96488,0.96891,0.99006,0.69137,1.07135,0.5248,1.35916,0.001208,0.001208,0.001208
22,240.764,1.06221,0.58165,1.30569,0.98189,0.97409,0.99286,0.69915,1.02877,0.47557,1.33253,0.0011684,0.0011684,0.0011684
23,251.796,1.04323,0.56753,1.29571,0.98918,0.97927,0.99351,0.70234,1.0298,0.49826,1.32313,0.0011288,0.0011288,0.0011288
24,262.887,1.05362,0.57203,1.29679,0.97862,0.94301,0.98929,0.69985,1.02324,0.49104,1.33953,0.0010892,0.0010892,0.0010892
25,273.68,1.07565,0.57355,1.32413,0.98938,0.96543,0.98171,0.67724,1.12608,0.54779,1.41888,0.0010496,0.0010496,0.0010496
26,284.491,1.0353,0.5526,1.29775,0.98925,0.95332,0.98088,0.69421,1.06324,0.52318,1.37993,0.00101,0.00101,0.00101
27,295.241,0.98978,0.54144,1.27529,0.99208,0.98964,0.99398,0.7204,1.00083,0.4587,1.34089,0.0009704,0.0009704,0.0009704
28,306.308,1.01004,0.54442,1.26963,0.99831,0.98446,0.99432,0.73197,1.01689,0.43718,1.34853,0.0009308,0.0009308,0.0009308
29,317.358,0.98745,0.51688,1.25501,0.99471,0.97371,0.99296,0.71741,0.99225,0.43848,1.30737,0.0008912,0.0008912,0.0008912
30,328.095,0.96781,0.50654,1.23813,0.99398,0.97409,0.99401,0.70841,1.01783,0.46537,1.36487,0.0008516,0.0008516,0.0008516
31,338.894,0.97302,0.50575,1.2629,0.99468,0.96846,0.99404,0.71738,1.01878,0.44124,1.32879,0.000812,0.000812,0.000812
32,349.594,0.97317,0.49497,1.25111,0.9837,0.99482,0.99331,0.72146,1.01401,0.42823,1.34689,0.0007724,0.0007724,0.0007724
33,360.306,0.94865,0.5015,1.23358,0.98579,0.96373,0.98894,0.70496,0.9998,0.499,1.33114,0.0007328,0.0007328,0.0007328
34,371.332,0.96386,0.4975,1.23727,0.97776,0.98964,0.99348,0.71165,1.01919,0.44199,1.32431,0.0006932,0.0006932,0.0006932
35,382.163,0.93842,0.48248,1.23555,0.9797,0.98964,0.99433,0.74476,0.96498,0.39965,1.27978,0.0006536,0.0006536,0.0006536
36,393.159,0.95279,0.47256,1.24021,0.98328,1,0.9911,0.7341,0.96825,0.40748,1.29233,0.000614,0.000614,0.000614
37,403.85,0.92729,0.48532,1.2276,0.99464,0.96171,0.97689,0.70076,1.01113,0.44226,1.34868,0.0005744,0.0005744,0.0005744
38,414.587,0.88148,0.44837,1.19043,0.97459,0.99482,0.99237,0.73173,0.93852,0.41521,1.27383,0.0005348,0.0005348,0.0005348
39,425.287,0.87915,0.45264,1.20589,0.98861,0.99482,0.99252,0.7441,0.91021,0.38118,1.27431,0.0004952,0.0004952,0.0004952
40,436.092,0.89151,0.43817,1.17865,0.98393,1,0.99275,0.75783,0.92179,0.38583,1.2621,0.0004556,0.0004556,0.0004556
41,461.199,0.90867,0.41113,1.23323,0.97775,0.99482,0.99126,0.73936,0.95924,0.40219,1.25903,0.000416,0.000416,0.000416
42,471.937,0.87589,0.38731,1.22345,0.98823,0.98964,0.99454,0.76345,0.93616,0.37243,1.2828,0.0003764,0.0003764,0.0003764
43,482.89,0.87016,0.38339,1.19275,0.9837,0.98964,0.99131,0.77197,0.90103,0.38277,1.2478,0.0003368,0.0003368,0.0003368
44,493.921,0.86874,0.37555,1.20811,0.9789,0.99482,0.99171,0.76679,0.9044,0.37293,1.25653,0.0002972,0.0002972,0.0002972
45,504.654,0.84992,0.3721,1.19853,0.97304,0.98964,0.99171,0.76447,0.89569,0.37365,1.26954,0.0002576,0.0002576,0.0002576
46,515.361,0.82993,0.36312,1.1723,0.97876,1,0.9924,0.76765,0.91601,0.36529,1.23564,0.000218,0.000218,0.000218
47,526.076,0.8233,0.35512,1.17448,0.97749,0.99482,0.99244,0.76944,0.89129,0.36089,1.23546,0.0001784,0.0001784,0.0001784
48,536.786,0.82457,0.35734,1.17379,0.97792,0.99482,0.99348,0.76921,0.87626,0.36383,1.2201,0.0001388,0.0001388,0.0001388
49,547.47,0.82767,0.34857,1.16871,0.97957,0.99482,0.99258,0.77059,0.8869,0.36447,1.2332,9.92e-05,9.92e-05,9.92e-05
50,558.209,0.81049,0.34414,1.1619,0.97952,0.99119,0.99269,0.77317,0.87867,0.35488,1.22205,5.96e-05,5.96e-05,5.96e-05
